Group,Competency Question,Related Concepts,Example SPARQL Query
Plan (General Structure),What steps describe this plan?,"Step, Plan","SELECT DISTINCT ?step  

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesStep ?step.
     ?step a ep-plan:Step.
    
}"
,What variables are part of this plan?,"Variable, Plan","SELECT DISTINCT  ?variable 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesVariable ?variable.
     
     ?variable a ep-plan:Variable.
}"
,Which step preceeds which step in this plan ?,"Step, Plan","SELECT DISTINCT ?step ?nextStep 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesStep ?step; ep-plan:includesStep ?nextStep.
     ?step ep-plan:precedes ?nextStep; a ep-plan:Step.
     ?nextStep a ep-plan:Step.
}"
,Which steps use which variables in this plan ?,"Step, Plan,Variable","SELECT DISTINCT ?step ?variableUsed 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesStep ?step; ep-plan:includesVariable ?variableUsed.
     ?step a ep-plan:Step; ep-plan:hasInputVariable ?variableUsed.
     ?variableUsed a ep-plan:Variable.
}"
,Which steps produce which variables in this plan ?,"Step, Plan,Variable","SELECT DISTINCT ?step ?variableProduced 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesStep ?step; ep-plan:includesVariable ?variableProduced.
     ?step a ep-plan:Step; ep-plan:hasOutputVariable ?variableProduced.
     ?variableProduced a ep-plan:Variable.
}"
,Which variables of this plan had corresponding execution trace elements during which execution activity?,"Entity, MultiActivity, Plan, Variable, ExecutionTraceBundle","SELECT DISTINCT ?executionActivity ?entity 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesVariable ?variable.
     ?variable a ep-plan:Variable.

     ?executionTrace a ep-plan:ExecutionTraceBundle; prov:wasGeneratedBy ?executionActivity; prov:wasDerivedFrom <PlanURI>; ep-plan:hasTraceElement ?entity.
     ?executionActivity a ep-plan:MultiActivity.

     ?entity a ep-plan:Entity; ep-plan:correspondsToVariable ?variable.
}"
,Which steps of this plan were executed during which execution process?,"Activity, MultiActivity, Plan, Step, ExecutionTraceBundle","SELECT DISTINCT ?executionActivity ?step 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesStep ?failedStep.
     ?failedStep a ep-plan:Step.

     ?executionTrace a ep-plan:ExecutionTraceBundle; prov:wasGeneratedBy ?executionActivity; prov:wasDerivedFrom <PlanURI>; ep-plan:hasTraceElement ?activity. 
     ?executionActivity a ep-plan:MultiActivity.

     ?activity a ep-plan:Activity; ep-plan:correspondsToStep ?step.
}"
,Which steps of this plan failed to execute during  execution activity?,"Activity, MultiActivity, Failed Activity, Plan, Step, ExecutionTraceBundle","SELECT DISTINCT ?executionActivity ?failedStep

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesStep ?failedStep.
     ?failedStep a ep-plan:Step.

     ?executionTrace a ep-plan:ExecutionTraceBundle; prov:wasGeneratedBy ?executionActivity; prov:wasDerivedFrom <PlanURI>; ep-plan:hasTraceElement ?activity.
     ?executionActivity a ep-plan:MultiActivity.

     ?activity a ep-plan:FailedActivity; ep-plan:correspondsToStep ?failedStep.
}"
Plan Decoposition,Which steps of this plan are composite steps?,"Plan, MultiStep","SELECT DISTINCT ?step 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesStep ?step.
     ?step a ep-plan:MultiStep.
}"
,Which variables of this plan are composite variables?,"Plan, MultiVariable","SELECT DISTINCT ?variable 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesVariable ?variable.
     ?variable a ep-plan:MultiVariable.
}"
,Which sub-plan of this plan describe which composite step of this plan?,"Plan, MultiStep","SELECT DISTINCT ?subPlan ?step

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesStep ?step.
     ?step a ep-plan:MultiStep; ep-plan:isDecomposedAsPlan ?subPlan.
     ?subPlan a ep-plan:Plan; ep-plan:isSubPlanOfPlan <PlanURI>.
}"
,Which variable of a sub-plan of this plan describe a composite variable of this plan?,"MultiVariable, Variable, Plan","SELECT DISTINCT ?compositeVar ?atomicVar 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesVariable ?compositeVar.
     ?subPlan a ep-plan:Plan; ep-plan:isSubPlanOfPlan <PlanURI>; ep-plan:includesVariable ?atomicVar.
     ?atomicVar a ep-plan:Variable.
     ?compositeVar a ep-plan:MultiVariable; ep-plan:hasPart ?atomicVar.
}"
,Which variable of this plan is also used in a sub-plan of this plan?,"Plan, Variable","SELECT DISTINCT ?variable ?subplan 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesVariable ?variable.
     ?subPlan a ep-plan:Plan; ep-plan:isSubPlanOfPlan <PlanURI>; ep-plan:includesVariable ?variable.
     ?variable a ep-plan:Variable.
}"
,Which execution trace elements corresponding to variables of a sub-plan are part of execution trace lements corresponding to composite variables of this plan? ,"Plan, MultiVariable, EntityCollection, Entity, ExecutionTraceBundle","SELECT DISTINCT ?compositeEntity ?atomicEntity 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesVariable ?compositeVar.
     ?subPlan a ep-plan:Plan; ep-plan:isSubPlanOfPlan <PlanURI>; ep-plan:includesVariable ?atomicVar.
     ?atomicVar a ep-plan:Variable.
     ?compositeVar a ep-plan:MultiVariable; ep-plan:hasPart ?atomicVar.

     ?mainExecutionTrace a ep-plan:ExecutionTraceBundle; prov:wasDerivedFrom <PlanURI>; ep-plan:hasTraceElement ?compositeEntity; ep-plan:hasTraceElement ?subPlanExecutionTrace.
     ?subPlanExecutionTrace a ep-plan:ExecutionTraceBundle; ep-plan:hasTraceElement ?atomicEntity; prov:wasDerivedFrom ?subPlan.

     ?compositeEntity a ep-plan:EntityCollection; ep-plan:correspondsToVariable ?compositeVar; prov:hadMember ?atomicEntity.
     ?atomicEntity a ep-plan:Entity; ep-plan:correspondsToVariable ?atomicVar. 
}"
,Which execution trace elements corresponding  to variables of this plan are also mentioned in the execution trace of its sub-plan?,"Plan, Entity, Variable, ExecutionTraceBundle","SELECT DISTINCT ?mainPlanEntity ?subPlanEntity 

WHERE
{
     <PlanURI> a ep-plan:Plan; ep-plan:includesVariable ?variable.
     ?subPlan a ep-plan:Plan; ep-plan:isSubPlanOfPlan <PlanURI>; ep-plan:includesVariable ?variable.
     ?variable a ep-plan:Variable.

     ?mainExecutionTrace a ep-plan:ExecutionTraceBundle; prov:wasDerivedFrom <PlanURI>; ep-plan:hasTraceElement ?mainPlanEntity; ep-plan:hasTraceElement ?subPlanExecutionTrace.
     ?subPlanExecutionTrace a ep-plan:ExecutionTraceBundle; ep-plan:hasTraceElement ?subPlanEntity; prov:wasDerivedFrom ?subPlan.

     ?mainPlanEntity a ep-plan:Entity; ep-plan:correspondsToVariable ?variable.
     ?subPlanEntity a ep-plan:Entity; ep-plan:correspondsToVariable ?variable; prov:mentionOf ?mainPlanEntity. 
}"
